yard_id,rake_type,rake_id,creation_date,bpc_categ,total_wagons,incoming_bpc,bpc_no,arrival_timestamp,dispatch_timestamp,exam_start_timestamp,exam_comp_timestamp,rake_event_id,ar_to_ex_st,ar_to_ex_st1,arrival_hour,arrival_day,arrival_weekday,arrival_shift,rakes_already_present,rakes_waiting_dispatch,same_type_rakes_present,rakes_already_present_before_exam_complete,time_since_last_dispatch,waited_due_to_previous_rake,time_since_creation_to_arrival,rake_density_score,arrival_date,total_exam_delay_yard_day,avg_delay_yard_day,delay_ratio_to_yard_avg,same_type_rakes_ratio,rush_factor,arrival_to_dispatch_gap,dispatch_wait_penalty_yardwise,prev_rake_arrival,prev_rake_gap_minutes
ACTL/TKD,CONTAINER,RYD 050222220728,2023-03-02,REVALID,46,50000516969,70000000348,2023-03-01 17:40:00,2023-03-02 06:35:00,2023-03-02 00:45:00,2023-03-02 02:15:00,RYD 050222220728_2023-03-02,425.0,425.0,17,2023-03-01,2,Afternoon,0,0,0,0,785.0,0,-380.0,0,2023-03-01,425.0,425.0,0.9976525821596244,0.0,0,775.0,0,2023-02-28 07:20:00,2060.0
ACTL/TKD,CONTAINER,CP  080120001928,2023-03-02,REVALID,46,50000514679,70000000384,2023-03-02 06:15:00,2023-03-02 22:08:00,2023-03-02 18:15:00,2023-03-02 19:45:00,CP  080120001928_2023-03-02,720.0,720.0,6,2023-03-02,3,Morning,1,1,1,0,1540.0,0,375.0,3,2023-03-02,1735.0,867.5,0.8290155440414507,0.5,92,953.0,0,2023-03-01 17:40:00,755.0
ACTL/TKD,CONTAINER,TKD090223234336,2023-03-02,REVALID,41,50000514701,70000000473,2023-03-02 21:35:00,2023-03-03 23:11:00,2023-03-03 14:30:00,2023-03-03 16:00:00,TKD090223234336_2023-03-02,1015.0,1015.0,21,2023-03-02,3,Evening,1,1,1,0,900.0,0,1295.0,3,2023-03-02,1735.0,867.5,1.1686816350028786,0.5,82,1536.0,1,2023-03-02 06:15:00,920.0
ACTL/TKD,CONTAINER,JUDW210922170602,2023-03-03,REVALID,46,50000513224,70000000520,2023-03-03 17:45:00,2023-03-04 22:43:00,2023-03-04 18:45:00,2023-03-04 20:15:00,JUDW210922170602_2023-03-03,1500.0,1500.0,17,2023-03-03,4,Afternoon,1,1,1,0,1177.0,0,1065.0,3,2023-03-03,1500.0,1500.0,0.9993337774816788,0.5,92,1738.0,1,2023-03-02 21:35:00,1210.0
ACTL/TKD,CONTAINER,MKPP280422120814,2023-03-06,CC_EXAM,46,,60000000233,2023-03-04 17:45:00,2023-03-06 22:00:00,2023-03-06 00:50:00,2023-03-06 03:00:00,MKPP280422120814_2023-03-06,1865.0,1865.0,17,2023-03-04,5,Afternoon,1,0,1,1,1114.0,1,-1815.0,2,2023-03-04,1865.0,1865.0,0.9994640943193998,0.5,46,3135.0,1,2023-03-03 17:45:00,1440.0
ACTL/TKD,CONTAINER,UMB 231022084807,2023-03-07,REVALID,46,70000000030.0,70000000671,2023-03-06 22:45:00,2023-03-07 13:32:00,2023-03-07 09:15:00,2023-03-07 10:45:00,UMB 231022084807_2023-03-07,630.0,630.0,22,2023-03-06,0,Evening,0,0,0,0,45.0,0,-75.0,0,2023-03-06,630.0,630.0,0.9984152139461172,0.0,0,887.0,0,2023-03-04 17:45:00,3180.0
ACTL/TKD,CONTAINER,MATP150223090054,2023-03-07,REVALID,41,70000000137,70000000704,2023-03-07 12:30:00,2023-03-08 00:31:00,2023-03-07 20:15:00,2023-03-07 21:45:00,MATP150223090054_2023-03-07,465.0,465.0,12,2023-03-07,1,Afternoon,1,1,1,0,870.0,0,750.0,3,2023-03-07,465.0,465.0,0.9978540772532188,0.5,82,721.0,0,2023-03-06 22:45:00,825.0
ACTL/TKD,CONTAINER,MATP031122102733,2023-03-08,REVALID,41,70000000284,70000000750,2023-03-08 01:05:00,2023-03-08 17:42:00,2023-03-08 13:15:00,2023-03-08 14:45:00,MATP031122102733_2023-03-08,730.0,730.0,1,2023-03-08,2,Night,0,0,0,0,34.0,0,65.0,0,2023-03-08,2880.0,1440.0,0.5065926439972241,0.0,0,997.0,0,2023-03-07 12:30:00,755.0
ACTL/TKD,CONTAINER,UMB 080621221111,2023-03-09,CC_EXAM,46,50000512573.0,70000000821,2023-03-08 05:20:00,2023-03-10 03:40:00,2023-03-09 17:10:00,2023-03-09 21:40:00,UMB 080621221111_2023-03-09,2150.0,2150.0,5,2023-03-08,2,Night,1,0,1,1,289.0,1,-1120.0,2,2023-03-08,2880.0,1440.0,1.4920194309507286,0.5,46,2780.0,1,2023-03-08 01:05:00,255.0
ACTL/TKD,CONTAINER,JUDW210922170602,2023-03-11,CC_EXAM,46,50000510486,70000000933,2023-03-11 06:40:00,2023-03-11 21:00:00,2023-03-11 09:45:00,2023-03-11 14:45:00,JUDW210922170602_2023-03-11,185.0,185.0,6,2023-03-11,5,Morning,0,0,0,0,1620.0,0,400.0,0,2023-03-11,185.0,185.0,0.9946236559139784,0.0,0,860.0,0,2023-03-08 05:20:00,4400.0
ACTL/TKD,CONTAINER,MATP150323130232,2023-03-15,CC_EXAM,41,50000511153,70000001188,2023-03-14 17:15:00,2023-03-15 19:08:00,2023-03-15 13:00:00,2023-03-15 16:00:00,MATP150323130232_2023-03-15,1185.0,1185.0,17,2023-03-14,1,Afternoon,0,0,0,0,4095.0,0,-405.0,0,2023-03-14,1185.0,1185.0,0.9991568296795952,0.0,0,1553.0,1,2023-03-11 06:40:00,4955.0
ACTL/TKD,CONTAINER,CP  080120001928,2023-03-16,CC_EXAM,46,50000514679,70000001255,2023-03-16 06:00:00,2023-03-17 00:10:00,2023-03-16 09:40:00,2023-03-16 13:43:00,CP  080120001928_2023-03-16,220.0,220.0,6,2023-03-16,3,Morning,0,0,0,0,652.0,0,360.0,0,2023-03-16,220.0,220.0,0.995475113122172,0.0,0,1090.0,0,2023-03-14 17:15:00,2205.0
ACTL/TKD,CONTAINER,UMB 080621221111,2023-03-17,REVALID,46,70000000821.0,70000001327,2023-03-17 00:25:00,2023-03-17 16:10:00,2023-03-17 09:00:00,2023-03-17 10:30:00,UMB 080621221111_2023-03-17,515.0,515.0,0,2023-03-17,4,Night,0,0,0,0,15.0,0,25.0,0,2023-03-17,515.0,515.0,0.998062015503876,0.0,0,945.0,0,2023-03-16 06:00:00,1105.0
ACTL/TKD,CONTAINER,JUDW210922170602,2023-03-18,REVALID,46,70000000933,70000001369,2023-03-18 05:00:00,2023-03-18 09:35:00,2023-03-18 05:40:00,2023-03-18 07:00:00,JUDW210922170602_2023-03-18,40.0,40.0,5,2023-03-18,5,Night,0,0,0,0,770.0,0,300.0,0,2023-03-18,575.0,191.66666666666663,0.2076124567474048,0.0,0,275.0,0,2023-03-17 00:25:00,1715.0
ACTL/TKD,CONTAINER,CP  201220140014,2023-03-18,REVALID,46,70000000172,70000001396,2023-03-18 08:50:00,2023-03-18 16:45:00,2023-03-18 11:15:00,2023-03-18 12:45:00,CP  201220140014_2023-03-18,145.0,145.0,8,2023-03-18,5,Morning,1,1,1,0,1000.0,0,530.0,3,2023-03-18,575.0,191.66666666666663,0.7525951557093425,0.5,92,475.0,0,2023-03-18 05:00:00,230.0
ACTL/TKD,CONTAINER,TKD170323121246,2023-03-19,REVALID,41,70000001343,70000001425,2023-03-18 13:40:00,2023-03-19 01:31:00,2023-03-18 20:10:00,2023-03-18 21:45:00,TKD170323121246_2023-03-19,390.0,390.0,13,2023-03-18,5,Afternoon,1,1,1,0,245.0,0,-620.0,3,2023-03-18,575.0,191.66666666666663,2.0242214532871974,0.5,82,711.0,0,2023-03-18 08:50:00,290.0
ACTL/TKD,CONTAINER,MKPP280422120814,2023-03-19,REVALID,41,60000000233,70000001495,2023-03-19 06:50:00,2023-03-19 22:39:00,2023-03-19 18:45:00,2023-03-19 20:15:00,MKPP280422120814_2023-03-19,715.0,715.0,6,2023-03-19,6,Morning,0,0,0,0,319.0,0,410.0,0,2023-03-19,715.0,715.0,0.9986033519553073,0.0,0,949.0,0,2023-03-18 13:40:00,1030.0
ACTL/TKD,CONTAINER,MATP031122102733,2023-03-20,CC_EXAM,41,,70000001551,2023-03-20 04:05:00,2023-03-21 18:30:00,2023-03-20 17:30:00,2023-03-20 22:01:00,MATP031122102733_2023-03-20,805.0,805.0,4,2023-03-20,0,Night,0,0,0,0,326.0,0,245.0,0,2023-03-20,805.0,805.0,0.9987593052109182,0.0,0,2305.0,1,2023-03-19 06:50:00,1275.0
ACTL/TKD,CONTAINER,MKPP140522135330,2023-03-24,REVALID,41,70000001548,70000001808,2023-03-23 19:45:00,2023-03-24 10:52:00,2023-03-24 05:30:00,2023-03-24 07:00:00,MKPP140522135330_2023-03-24,585.0,585.0,19,2023-03-23,3,Evening,0,0,0,0,2955.0,0,-255.0,0,2023-03-23,1990.0,995.0,0.5873493975903614,0.0,0,907.0,0,2023-03-20 04:05:00,5260.0
